Feature,Importance1800_1899,Importance1900_1999,importance_change
house,0.2996688234023604,0.140957880557819,0.1587109428445414
secretary,0.04949193126735,0.1966387260706377,0.1471467948032877
said,0.1990118658274842,0.0898713053036506,0.1091405605238336
state,0.0942963007626824,0.1960345626476528,0.10173826188497039
asked,0.0371513117040257,0.1340658929639017,0.09691458125987601
country,0.1484166031147037,0.0773360786885989,0.0710805244261048
ireland,0.1015976210881744,0.0343694465317822,0.0672281745563922
local,0.0272728544014033,0.0913980156274817,0.0641251612260784
great,0.1335452622931034,0.0711731792783112,0.062372083014792204
subject,0.0973180066433363,0.0378911271011687,0.0594268795421676
friend,0.0848262166195226,0.1441405509245504,0.05931433430502779
present,0.1233108092018358,0.0655535611839565,0.057757248017879306
gentleman,0.1386314030820733,0.084566411106952,0.05406499197512131
law,0.0864124418739527,0.0327021750591564,0.05371026681479629
question,0.1384861942735469,0.0857218403844995,0.05276435388904739
make,0.0619947929305234,0.114405463689122,0.05241067075859859
ask,0.0424346128400563,0.0925875455387605,0.0501529326987042
work,0.0238189287534349,0.0680181221076743,0.0441991933542394
information,0.0233930964703665,0.0659739138739021,0.0425808174035356
people,0.0736229950842742,0.1161061704172599,0.042483175332985706
mr,0.1238856827839782,0.0831247028506168,0.040760979933361405
new,0.0397659219220661,0.0795090376077759,0.039743115685709804
parliament,0.0662007383903907,0.0277554206889134,0.0384453177014773
service,0.0304857589771549,0.0685033491739867,0.038017590196831805
british,0.0258876219845816,0.0622898810190439,0.0364022590344623
report,0.0350332219280431,0.0703208297795848,0.035287607851541704
number,0.0467495713643891,0.0814437911244985,0.0346942197601094
hope,0.0225239727806237,0.0551555294088027,0.032631556628179
lord,0.1349547671500601,0.1033475430651299,0.031607224084930205
statement,0.0294045708104441,0.0595227393501693,0.030118168539725203
noble,0.1272012129399494,0.0973034136669598,0.029897799272989606
learned,0.0543702659021824,0.0245845607855717,0.0297857051166107
case,0.0927931128034507,0.0650731581097328,0.027719954693717908
england,0.0531647347088156,0.0258783887327017,0.0272863459761139
man,0.0527712656792603,0.0258995144911596,0.026871751188100697
