Feature,Importance1918_1927,Importance1928_1938,importance_change
hon,0.3542471975289281,0.2008423129828913,0.1534048845460368
ask,0.0925875455387605,0.1964744699996717,0.10388692446091119
asked,0.1340658929639017,0.0310356268351656,0.1030302661287361
think,0.0955922272318704,0.033942827715291,0.0616493995165794
member,0.1461701208375014,0.0926199998044655,0.053550121033035886
right,0.1579451528371784,0.1067677067865014,0.05117744605067699
government,0.2247818959167586,0.272105954764844,0.04732405884808541
question,0.0857218403844995,0.0395479914883217,0.046173848896177795
health,0.0583160759497475,0.1043433627999608,0.0460272868502133
support,0.0391423708422733,0.0849647061374225,0.0458223352951492
department,0.0789442978442755,0.1215109372706252,0.04256663942634971
say,0.0889600698325297,0.0478229515021319,0.0411371183303978
great,0.0711731792783112,0.0305809365937065,0.04059224268460469
noble,0.0973034136669598,0.1372359767717048,0.039932563104744995
house,0.140957880557819,0.1011343763613449,0.0398235041964741
gentleman,0.084566411106952,0.0474527612170502,0.0371136498899018
people,0.1161061704172599,0.1516975407345708,0.03559137031731091
lord,0.1033475430651299,0.1386624165115034,0.035314873446373504
matter,0.0806742812140558,0.0466298925942327,0.034044388619823104
country,0.0773360786885989,0.0443403461571512,0.032995732531447705
mr,0.0831247028506168,0.0506516881370498,0.03247301471356699
friend,0.1441405509245504,0.1117451565978717,0.03239539432667869
lords,0.04204824386984,0.0720342009079651,0.0299859570381251
police,0.0294057250169509,0.0590916242561681,0.029685899239217203
british,0.0622898810190439,0.0340575062275174,0.028232374791526495
service,0.0685033491739867,0.0948109629591067,0.02630761378511999
new,0.0795090376077759,0.105461981270099,0.02595294366232309
information,0.0659739138739021,0.0916884883805914,0.025714574506689306
need,0.0372630100622946,0.061495849205476,0.024232839143181403
office,0.0429626398875017,0.066455191883337,0.023492551995835297
time,0.1174321028634637,0.0941208799820251,0.023311222881438595
national,0.0588377324735582,0.0818241244253978,0.022986391951839595
state,0.1960345626476528,0.218094387409933,0.022059824762280217
report,0.0703208297795848,0.0923504047055473,0.022029574925962497
european,0.0279204344872616,0.049700057675943,0.021779623188681402
like,0.0514778176470263,0.0297741632006752,0.0217036544463511
said,0.0898713053036506,0.0684167980135254,0.0214545072901252
trade,0.0556796811009351,0.0344276965125991,0.021251984588336
general,0.0586665639266828,0.0379726708730011,0.020693893053681696
secretary,0.1966387260706377,0.2170139951105369,0.020375269039899196
children,0.0289020337050572,0.0490683199068361,0.020166286201778898
industry,0.0651496766049347,0.046281833250107,0.018867843354827704
set,0.0283985087377182,0.0471107375840943,0.018712228846376102
work,0.0680181221076743,0.0865923362495481,0.018574214141873796
answer,0.0391586726086424,0.0571702562004451,0.018011583591802702
local,0.0913980156274817,0.1082283488895955,0.016830333262113792
case,0.0650731581097328,0.0490884389440688,0.015984719165663998
provide,0.0257536303166118,0.0413727881653277,0.015619157848715898
shall,0.0623319661914049,0.0470986661617546,0.015233300029650301
important,0.0363580956842557,0.0514785805673138,0.015120484883058102
defence,0.031825705599986,0.0468532139075157,0.015027508307529698
committee,0.0808527689213418,0.0658697278998653,0.014983041021476504
services,0.0552747984545846,0.0700283328958648,0.014753534441280199
000,0.044629578671018,0.0300658892405494,0.0145636894304686
england,0.0258783887327017,0.0403064791919945,0.014428090459292803
members,0.0809059991788735,0.0664994537652489,0.0144065454136246
amendment,0.0514304094489122,0.0651736092116139,0.013743199762701698
place,0.0446701667423859,0.0581399937950613,0.013469827052675402
home,0.0470617024065524,0.0603430283720422,0.013281325965489803
order,0.0580174874739056,0.0452376552177297,0.012779832256175905
